date,value
20151015,6.3
20151016,7.7
20151017,8.1
20151018,8.4
20151019,10.5
20151020,9.5
20151021,9.7
20151022,11.9
20151023,11.4
20151024,11.8
20151025,9.9
20151026,10.5
20151027,11.1
20151028,10.6
20151029,10.7
20151030,10.2
20151031,9.8
20151101,7.7
20151102,6.9
20151103,9
20151104,12.2
20151105,13.3
20151106,15.5
20151107,16.4
20151108,13.1
20151109,13.6
20151110,14.5
20151111,12.7
20151112,13.3
20151113,11.4
20151114,9.7
20151115,14.3
20151116,12.5
20151117,13.5
20151118,13.1
20151119,11.2
20151120,7.9
20151121,4.3
20151122,2.6
20151123,3.2
20151124,4.2
20151125,5.4
20151126,4
20151127,4.5
20151128,6.7
20151129,10.2
20151130,9.5
20151201,9.7
20151202,11
20151203,9.8
20151204,9.4
20151205,7.9
20151206,10.5
20151207,10.5
20151208,9.8
20151209,7.6
20151210,5.9
20151211,7
20151212,7.6
20151213,6.8
20151214,7.6
20151215,7.4
20151216,11.4
20151217,13.6
20151218,11.8
20151219,12.2
20151220,11.6
20151221,10.4
20151222,13
20151223,10.6
20151224,9.8
20151225,9.6
20151226,13.1
20151227,11.8
20151228,8.9
20151229,7.5
20151230,6.9
20151231,7.8
